sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
2000,0.5,-16.3,-16.3,0.0,-16.3,83.7,291.9782,19.8626,99.7587,100,123,5.391,110.7391
2000,0.51,-16.3,-16.3,0.0,-16.3,83.7,309.0621,22.8363,102.023,99,120,4.5481,111.3191
2000,0.52,-16.3,-16.3,0.0,-16.3,83.7,756.7577,31.3499,104.7411,98,125,4.8861,111.0676
2000,0.53,-16.3,-16.3,0.0,-16.3,83.7,326.2182,27.9999,105.3918,97,126,5.8102,111.0423
2000,0.54,-16.3,-16.3,0.0,-16.3,83.7,565.4793,32.4984,107.7695,92,121,5.6113,109.0444
2000,0.55,-16.3,-16.3,0.0,-16.3,83.7,591.7904,36.8716,110.2805,96,119,5.2486,108.0859
2000,0.56,-16.3,-16.3,0.0,-16.3,83.7,1422.5221,59.0221,117.6924,89,121,5.7248,106.9897
2000,0.57,-16.3,-16.3,0.0,-16.3,83.7,585.9311,48.2353,117.3601,92,124,5.9608,106.6634
2000,0.58,-16.3,-16.3,0.0,-16.3,83.7,2490.5131,87.6836,124.7018,92,121,5.0218,106.0185
2000,0.59,-16.3,-16.3,0.0,-16.3,83.7,2822.4329,100.6419,130.8315,90,120,5.1849,105.457
2000,0.6,-16.3,-16.3,0.0,-16.3,83.7,1716.1488,97.0208,138.8582,89,119,5.3308,104.0297
2000,0.61,-16.3,-16.3,0.0,-16.3,83.7,3008.7242,137.0724,149.2447,87,122,5.481,103.7406
2000,0.62,-16.3,-16.3,0.0,-16.3,83.7,14309.2782,369.0194,171.9711,85,123,5.5525,102.9065
2000,0.63,-16.3,-16.3,0.0,-16.3,83.7,4802.994,226.3538,174.2357,86,122,5.3725,101.591
2000,0.64,-16.3,-16.3,0.0,-16.3,83.7,19507.0001,599.8895,225.0418,84,123,5.3586,100.9055
2000,0.65,-16.3,-16.3,0.0,-16.3,83.7,12030.9182,580.6183,253.8304,85,118,5.1129,99.8824
2000,0.66,-16.3,-16.3,0.0,-16.3,83.7,673886.8915,15159.0662,659.9092,83,116,5.3562,99.3927
2000,0.67,-16.3,-16.3,0.0,-16.3,83.7,38538.9169,1267.0094,363.8462,82,115,5.2111,98.3646
2000,0.68,-16.3,-16.3,0.0,-16.3,83.7,42150.6633,2204.8814,567.4519,81,117,5.0883,97.0327
2000,0.69,-16.3,-15.3355,0.0216,-16.2995,83.7,999692.7292,29089.0865,1806.1019,79,114,5.1536,96.2127
2000,0.7,-16.3,-16.3,0.0,-16.3,83.7,590457.7235,20277.176,2037.4134,81,111,4.9743,95.1575
2000,0.71,-17.4667,-7.0,0.3606,-16.2866,83.7,7100752960.9316,274554340.3749,10683344.3815,76,472835,16209.4304,931.4881
2000,0.72,-16.3,-7.0,0.3426,-16.2846,83.7,7201014785.7695,278428355.7446,10985185.511,79,466077,14854.5299,813.6938
2000,0.73,-17.2804,-7.0,0.424,-16.2748,83.7,7301160831.336,325915368.5906,14624195.0718,77,459559,15817.2699,911.4126
2000,0.74,-16.5921,-7.0,0.6294,-16.2522,83.7,7397332294.1093,494759866.2832,33293393.7774,76,453915,21504.4272,1628.2255
2000,0.75,-18.0687,-7.0,1.1116,-16.1536,83.7,7498271846.669,910592831.9569,112411651.6104,75,448014,34626.785,4163.606
2000,0.76,-18.4202,-7.0,1.5832,-16.0037,83.7,7604917560.2977,1315932982.3542,235554806.5621,76,442522,43608.0078,6696.196
2000,0.77,-18.5427,-7.0,2.0205,-15.8054,83.7,7703116496.9527,1715543202.4275,403975376.8615,73,436768,50482.5756,9136.2451
2000,0.78,-18.2777,-7.0,2.6481,-15.4303,83.7,7802129358.2811,2268545847.1931,728650443.4362,74,431299,60121.595,13288.6154
2000,0.79,-18.3662,-7.0,3.1417,-15.0253,83.7,7906731592.2321,2709457846.3129,1077393098.8736,74,425612,63628.2905,15178.0233
