sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
1000,0.5,-99.9691,-50.0014,13.8679,-69.0142,49.5029,49.9998,0.1444,49.7595,464,112502,9049.202,6784.1424
1000,0.51,-95.5802,-41.0316,10.1413,-69.3494,49.506,225452730.395,60555048.7548,167449727.9712,273,525280,63579.3296,29425.6484
1000,0.52,-75.3292,-24.942,8.4183,-48.2005,49.5036,419398798.1679,45376204.4693,385881204.6775,233,489052,60775.3606,26069.9388
1000,0.53,-63.9616,-22.0583,6.9344,-36.845,555146306.5234,622801788.1451,9797347.4191,590754581.4943,236,381601,79773.9593,32453.13
1000,0.54,-62.6853,-18.2706,5.6561,-30.059,758268571.1319,827351666.9536,10257179.1139,791034517.2401,203,282068,59785.3412,24324.2897
1000,0.55,-43.6884,-15.0159,4.6878,-25.3744,960781206.7133,1020357235.0558,9952921.2886,990944588.376,184,442209,94009.1269,36860.8546
1000,0.56,-42.7172,-12.7554,4.2141,-22.0278,1165073535.0007,1220421603.5467,9513035.1406,1191618388.9845,161,364737,78372.4581,30702.052
1000,0.57,-35.0183,-10.6004,3.5809,-19.317,1360459348.1427,1419296104.9564,9745954.7215,1391255243.303,158,310661,67196.4064,26318.5556
1000,0.58,-34.112,-10.5646,3.3094,-17.3274,1558345978.9155,1621603563.1072,9761794.4905,1591024220.8519,152,271929,58767.3425,23032.2944
1000,0.59,-27.5201,-8.7396,2.9978,-15.5934,1756678432.704,1826907594.5873,9890476.0362,1791605088.6965,140,477278,102662.0187,39029.5218
1000,0.6,-27.4258,-7.8085,2.8265,-14.4377,1964655186.1422,2026413491.112,9395322.714,1991146256.3654,128,431344,92458.7313,35136.994
1000,0.61,-26.3695,-7.7901,2.5698,-13.2332,2163609507.8698,2221653484.2375,9420489.1576,2191152682.0471,130,391542,84025.8961,31941.1136
1000,0.62,-26.916,-7.7348,2.4684,-12.2392,2364381582.6085,2420427646.5999,9408795.0122,2392066761.0327,118,356980,76984.0346,29264.3647
1000,0.63,-21.7067,-6.8307,2.2913,-11.3613,2564616736.2374,2620829873.414,9315991.4548,2592087753.7126,126,329653,71070.0804,27014.4798
1000,0.64,-19.5197,-6.8307,1.9662,-10.4406,2762284071.9525,2820582391.6456,9820950.3983,2791383232.3307,108,307311,66023.3573,25093.9317
1000,0.65,-19.9891,-5.9461,1.9405,-9.9274,2961807290.6261,3022147670.5795,9844203.1011,2991886121.4905,104,284944,61609.5966,23418.7198
1000,0.66,-16.757,-5.8802,1.759,-9.3765,3163879862.792,3221965781.0826,9405396.1464,3191664362.9047,104,268808,57759.9839,21958.495
1000,0.67,-16.6487,-5.8614,1.7305,-8.7897,3364402066.7173,3420733520.6735,9625126.6937,3391811644.9946,104,499018,106866.2012,39572.0141
1000,0.68,-16.7986,-4.901,1.5906,-8.2277,3567160964.9949,3618038954.6153,8983037.1986,3592204292.2977,98,471388,100903.3699,37368.1359
1000,0.69,-14.1059,-4.92,1.4376,-7.7885,3762707417.8453,3833175731.2952,9467598.6352,3791715253.9116,102,446806,95621.1459,35409.1193
1000,0.7,-14.9223,-4.9105,1.4168,-7.3307,3964747675.2974,4023460715.0445,9377527.0767,3991530118.4432,97,424652,90838.3279,33638.7965
1000,0.71,-14.9308,-3.998,1.3245,-7.0179,4165569712.1578,4224356435.5888,8855775.9287,4192130062.5295,92,403796,86500.5787,32032.7525
1000,0.72,-12.4145,-3.9692,1.2912,-6.6232,4363764173.7087,4419031431.3675,9166849.5,4392099378.9186,88,385404,82571.5728,30576.4673
1000,0.73,-14.9308,-3.95,1.2373,-6.3525,4563232017.1138,4618509709.2794,8802969.2258,4591351036.8442,84,367738,78997.4804,29253.8524
1000,0.74,-12.283,-3.95,1.1612,-6.0608,4762867714.1176,4820148803.7803,8806632.6219,4791517848.9703,88,352496,75699.8021,28031.423
1000,0.75,-14.8883,-3.0567,1.127,-5.7826,4963614525.4161,5020295282.6921,8700652.3117,4991084675.631,81,339392,72676.6548,26912.7594
1000,0.76,-11.3792,-3.0186,1.1038,-5.5538,5164720168.8584,5222046184.5019,8314611.9634,5191833044.6844,83,325734,69877.3132,25874.5547
1000,0.77,-8.7396,-2.9895,1.0122,-5.2319,5363402292.7564,5416183237.7422,8327853.8133,5391524817.906,73,313878,67292.738,24917.8476
1000,0.78,-9.5708,-2.9798,0.9542,-5.015,5569221366.1487,5619422368.0658,7991399.156,5591737981.3372,81,301658,64882.4387,24026.446
1000,0.79,-9.5708,-2.9798,0.9781,-4.8071,5763008767.8801,5828815731.9657,8231394.4488,5791668246.4767,77,291699,62642.9615,23197.8342
