sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
1000,0.5,-16.598,-5.852,1.8544,-9.2666,9921350007.4299,10062328947.4555,20239756.81,9990698699.1401,30,339524,71461.0522,25845.3096
1000,0.51,-18.2577,-4.901,1.8549,-9.1063,10330549495.8155,10447530634.1453,20183915.0991,10391330929.5788,30,325543,68711.3491,24850.2067
1000,0.52,-18.4028,-4.901,1.8037,-8.7266,10717366125.6101,10852938841.3696,19820127.5118,10790562269.8,28,314781,66170.6151,23931.6558
1000,0.53,-15.0557,-4.901,1.6873,-8.3833,11124215541.4543,11260098841.3696,20501468.578,11190915472.6149,28,302741,63801.8176,23075.9229
1000,0.54,-15.8553,-4.901,1.7028,-8.1301,11524029078.7804,11659135192.1447,20336350.1414,11590533968.0791,27,292343,61604.2758,22278.8171
1000,0.55,-14.0451,-4.901,1.5753,-7.8015,11934897623.5203,12053495981.611,20158079.9124,11992514350.7371,26,282038,59538.8235,21533.4832
1000,0.56,-15.8553,-4.901,1.5072,-7.571,12329627967.4046,12448387032.7545,19383120.0007,12391482632.13,26,273419,57628.9519,20842.78
1000,0.57,-14.9046,-3.9404,1.5028,-7.3932,12716987106.8227,12863583756.2193,20076736.0074,12791316783.1396,27,264568,55822.5265,20189.6676
1000,0.58,-13.1769,-3.9404,1.5091,-7.101,13128790668.4768,13269229567.167,19712715.3818,13190960402.9775,26,256341,54136.6899,19578.8311
1000,0.59,-15.7556,-3.9404,1.4387,-6.8535,13532439585.0056,13652985403.2868,19877259.063,13591992999.264,24,496683,103370.9743,36573.4872
1000,0.6,-11.3615,-3.9404,1.3357,-6.5636,13936672573.5965,14048639191.294,20037511.5087,13991032185.8642,26,482626,100425.1286,35531.7134
1000,0.61,-13.1254,-3.9404,1.3053,-6.287,14328838876.6689,14452204992.4572,19865496.0004,14390779737.5887,26,469458,97635.4239,34544.7148
1000,0.62,-13.2283,-3.9404,1.3577,-6.2553,14723204031.3141,14845598587.9022,19756446.6337,14790593127.3636,24,456224,95004.2982,33611.7734
1000,0.63,-14.8542,-2.9701,1.314,-6.0029,15138845852.2416,15265167399.6429,19703923.9545,15191315880.1425,23,444566,92494.3579,32724.8141
1000,0.64,-12.2998,-3.9404,1.292,-5.8628,15526684247.6357,15644496212.7698,19265182.9938,15592556537.5946,23,432668,90116.5666,31883.5114
1000,0.65,-11.3615,-2.9701,1.2223,-5.669,15929813808.3923,16047570212.4883,19214289.4977,15991169251.0736,24,421879,87871.1176,31089.7917
1000,0.66,-10.5192,-2.9701,1.1897,-5.4412,16324375550.1732,16465657774.7843,19513931.3481,16392244607.5059,24,411533,85730.1261,30330.0361
1000,0.67,-11.3615,-2.9701,1.1627,-5.3338,16742375009.8691,16862057839.5964,19247552.362,16791640341.2625,23,401755,83685.2651,29609.1077
1000,0.68,-9.5618,-2.9701,1.1137,-5.1451,17132088605.3758,17245733622.644,17606811.9738,17191714694.0931,23,392018,81738.4103,28919.4625
1000,0.69,-9.5618,-2.9701,1.1302,-4.9922,17535653670.3084,17646377839.5964,17768797.8395,17591776370.4885,23,383606,79882.3562,28262.4669
1000,0.7,-10.4662,-2.9701,1.0281,-4.8619,17931464877.0085,18048775455.03,17781701.7966,17991116371.9298,23,374965,78110.5807,27635.879
1000,0.71,-11.3615,-2.9701,1.0538,-4.7369,18322061038.6453,18452782248.6908,17940271.601,18391340051.1089,23,366524,76407.2939,27033.291
1000,0.72,-9.5618,-2.9701,1.0207,-4.5545,18736103022.3357,18846667103.2301,17744670.3417,18791306910.0384,23,358927,74783.3395,26458.4936
1000,0.73,-9.5618,-2.9701,0.9911,-4.3612,19142864426.3547,19257264282.0912,18055065.4761,19191044539.6613,23,351378,73230.9052,25907.7615
1000,0.74,-7.7802,-2.4735,0.9324,-4.2254,19520187103.2301,19647031069.8595,17177468.2054,19592493511.9692,23,344112,71728.461,25377.318
1000,0.75,-8.6483,-2.2607,0.9515,-4.1245,19944069539.1381,20057949243.7467,17368927.4302,19991903395.7825,23,337068,70294.3749,24870.0574
1000,0.76,-7.7802,-1.99,0.8923,-3.9894,20335550570.9673,20442590737.1433,17126428.3483,20391921785.9661,23,330350,68916.7739,24383.369
1000,0.77,-8.6483,-1.99,0.9231,-3.83,20726468037.2582,20848876247.6358,17259681.9667,20791057912.1736,23,324715,67594.7706,23914.6792
1000,0.78,-7.7255,-1.99,0.8671,-3.7074,21145308640.3238,21243712266.2272,16502639.8598,21192169658.309,23,318016,66312.3588,23461.2703
1000,0.79,-7.7255,-1.99,0.8638,-3.5698,21549994894.2469,21631153704.744,16038728.4016,21591108131.7097,23,312191,65091.635,23029.4201
