sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
1000,0.5,-99.3674,-50.0014,13.7586,-68.8192,49.5003,49.9996,0.1449,49.7709,478,75863,6876.7357,5890.7407
1000,0.51,-97.7605,-42.9487,10.5811,-70.135,49.5009,220156789.5971,63519298.898,164710178.2639,261,493207,63470.9846,29526.3428
1000,0.52,-82.2797,-28.1623,8.8383,-48.4758,49.6896,421296111.2164,36217890.2247,387223573.1758,251,494024,60901.1658,26145.1657
1000,0.53,-68.1598,-21.0739,7.2305,-36.8898,49.8714,624004148.8009,21332852.869,590018135.3297,202,386511,79913.2187,32477.0689
1000,0.54,-56.079,-18.4543,5.7608,-30.1548,760813412.628,820427041.1249,10209367.5674,790694532.0521,190,285886,59854.3246,24344.2012
1000,0.55,-49.1644,-14.9478,4.5383,-24.8388,964372579.5742,1022814868.0297,9643056.8517,990966784.4116,190,438069,94075.4098,36858.562
1000,0.56,-41.3051,-13.325,4.0201,-21.7461,1156756817.2186,1222870735.0188,10019779.9066,1190811236.4027,178,365351,78401.3534,30719.2173
1000,0.57,-35.491,-11.6182,3.5744,-19.2165,1357773458.3687,1427493419.825,10125027.8698,1391807941.4974,148,312205,67147.3075,26307.804
1000,0.58,-31.3887,-11.0196,3.371,-17.2645,1553161392.5061,1623063669.0456,9775416.0572,1591342510.2639,136,272553,58788.8172,23030.5496
1000,0.59,-30.3134,-9.6432,3.095,-15.7894,1755085199.3877,1823613021.6534,9849635.5017,1791936107.9433,136,477417,102657.9807,39024.2568
1000,0.6,-30.5916,-8.7578,2.6782,-14.2819,1963514668.3749,2021322998.6779,9744793.2014,1991586402.1431,140,429800,92391.6312,35124.8886
1000,0.61,-25.5215,-7.7993,2.4941,-13.0585,2160721075.1847,2218483569.6824,9697716.0558,2191426041.648,125,390398,84004.3881,31932.79
1000,0.62,-19.3747,-7.744,2.272,-12.1406,2353316805.9613,2426394268.3231,9799710.9939,2391855840.6608,132,358730,77009.1506,29273.9202
1000,0.63,-25.5885,-6.8773,2.1182,-11.2377,2554239357.2886,2625436017.559,9681134.946,2591533163.423,122,329158,71086.53,27018.7995
1000,0.64,-25.4321,-6.8121,2.1571,-10.6434,2762023100.6734,2830850432.5615,9462649.7536,2792167790.9554,104,304886,66007.99,25090.4051
1000,0.65,-19.1405,-5.8708,1.9524,-9.9845,2962710624.7814,3022275428.9356,9220913.4901,2991357024.0601,112,286050,61625.5445,23421.5615
1000,0.66,-27.8058,-5.899,1.8588,-9.3376,3164189700.9095,3222285097.1472,9412231.0758,3191969871.1976,102,267234,57753.9143,21951.9819
1000,0.67,-15.0329,-4.9485,1.6897,-8.7278,3354976774.028,3431498349.3938,9363093.052,3392256893.5246,100,499102,106802.4785,39548.1072
1000,0.68,-16.607,-4.939,1.6747,-8.2948,3563906561.0167,3627132417.6867,9415592.7551,3591713676.5591,98,471226,100934.8653,37374.9004
1000,0.69,-17.441,-4.901,1.5318,-7.8153,3765458316.2166,3818717870.3503,9046465.263,3791305178.8785,96,446202,95631.7852,35411.344
1000,0.7,-14.9648,-4.0172,1.3873,-7.4103,3965336366.9942,4025368904.3344,8973604.3667,3991635060.1573,88,425314,90835.8301,33637.4484
1000,0.71,-14.02,-4.901,1.3591,-7.0592,4160322167.2681,4220271515.8716,8865386.2589,4191701179.127,92,404144,86513.2416,32035.4048
1000,0.72,-13.2123,-3.9788,1.208,-6.6511,4363022595.1871,4421901766.4613,8980300.5395,4391846967.0949,87,385943,82573.3747,30579.6931
1000,0.73,-11.5298,-3.95,1.2514,-6.3358,4564489098.5568,4619990141.3588,8668092.124,4591296510.1795,88,368222,78993.2185,29253.026
1000,0.74,-11.3881,-3.95,1.1582,-6.0264,4763396536.578,4824479459.917,8750438.2478,4791591263.2677,81,352916,75699.2752,28031.7358
1000,0.75,-12.2918,-3.9404,1.1418,-5.8544,4959820665.4026,5017493906.1713,8679747.9833,4991935949.1831,86,339142,72665.3625,26906.752
1000,0.76,-11.3881,-3.9404,1.1606,-5.5851,5166101192.6082,5224725536.7515,8497982.9795,5191883606.1109,82,325563,69873.7321,25874.6811
1000,0.77,-11.397,-2.9992,1.0316,-5.3076,5362425178.7701,5417418955.288,8327285.1248,5391320690.2211,81,313358,67299.8873,24920.0523
1000,0.78,-10.5109,-2.9895,1.0015,-5.0185,5564326587.0763,5617448098.1655,8419012.5661,5591762640.5011,81,302573,64879.2972,24025.2538
1000,0.79,-10.493,-2.9701,0.9171,-4.8052,5769230115.3272,5820607265.8989,7920729.3396,5791594808.7485,79,291697,62645.9592,23198.4096
