sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
10000,0.5,-100.0,-31.0,4.6865,-99.3573,-100.0,18282.3005,889.8162,5.546,98,698,56.262,164.3077
10000,0.51,-100.0,-31.0,5.7332,-99.0387,-100.0,23474.0503,1296.5546,88.3585,101,591,52.0762,159.725
10000,0.52,-100.0,-31.0,7.6009,-98.3733,-100.0,32637.05,1929.9237,255.1907,98,629,49.3419,155.3565
10000,0.53,-100.0,-31.0,9.0694,-97.6467,-100.0,32964.4205,2647.4593,509.7822,94,641,45.7357,150.3835
10000,0.54,-100.0,-31.0,10.6337,-96.8142,-100.0,32309.6795,3506.0171,847.8776,94,515,42.6418,146.5967
10000,0.55,-100.0,-31.0,12.8194,-95.3572,-100.0,34306.9685,4791.7533,1481.907,90,547,39.3509,142.0762
10000,0.56,-100.0,-31.0,15.2609,-93.5094,-100.0,45357.0706,6426.1009,2396.5026,92,457,36.5757,138.1864
10000,0.57,-100.0,-15.0,16.9155,-91.6901,-100.0,45361.6167,8060.6475,3608.6235,90,448,33.2936,134.0406
10000,0.58,-100.0,-15.0,19.0253,-89.4812,-100.0,56486.7954,10155.472,5214.5122,90,477,31.2957,130.7032
10000,0.59,-100.0,-15.0,20.9953,-86.5788,-100.0,63032.0964,12463.8148,7498.3027,86,443,28.5399,127.0037
10000,0.6,-100.0,-15.0,22.8301,-83.7782,-100.0,66915.9925,14915.8408,10120.3953,87,413,26.07,123.8557
10000,0.61,-100.0,-15.0,24.4084,-80.6188,-100.0,75415.2978,17519.6857,13468.3384,84,438,24.0695,120.8964
10000,0.62,-100.0,-15.0,25.5846,-77.2114,-100.0,80061.0103,20111.1479,17597.7064,84,350,22.2954,118.2421
10000,0.63,-100.0,-15.0,27.0218,-73.1618,-100.0,95784.3901,23185.8747,22844.0102,83,382,20.6674,115.4916
10000,0.64,-100.0,-15.0,27.8239,-69.6561,-100.0,100675.4576,25954.0071,28383.7717,81,339,18.9951,113.0711
10000,0.65,-100.0,-15.0,28.5032,-65.4917,-100.0,112331.9882,28771.2088,35438.9812,79,296,17.1818,110.6188
10000,0.66,-100.0,-15.0,28.7448,-61.5239,-100.0,116897.1778,31270.1088,43045.4743,80,337,15.8767,108.4928
10000,0.67,-100.0,-7.0,28.953,-57.5127,-100.0,145439.6964,33775.7405,51640.622,78,313,14.5615,106.4106
10000,0.68,-100.0,-7.0,28.3638,-53.5059,-100.0,145528.2427,35763.2055,61606.3691,78,268,13.6347,104.5801
10000,0.69,-100.0,-7.0,28.2005,-49.6171,-100.0,163997.549,38251.7879,72309.7237,77,275,12.3502,102.6122
10000,0.7,-100.0,-7.0,27.6019,-46.3921,-100.0,174092.8549,40046.1623,83675.7309,77,263,11.3987,100.865
10000,0.71,-100.0,-7.0,26.8646,-42.8781,-100.0,188525.901,41891.2213,96231.2223,77,221,10.3849,99.2369
10000,0.72,-100.0,-7.0,26.0477,-39.5488,-100.0,221078.7034,43822.1809,110310.289,74,212,9.635,97.7006
10000,0.73,-100.0,-7.0,24.6315,-36.0078,-100.0,241799.8905,44353.7049,126092.4935,75,238,9.0937,96.2353
10000,0.74,-100.0,-7.0,22.9696,-32.8572,-100.0,254139.2161,44078.3545,143451.7762,74,203,8.3651,94.7969
10000,0.75,-100.0,-7.0,21.5329,-29.4919,-100.0,300996.6302,44849.9399,162193.6563,74,204,7.6481,93.3648
10000,0.76,-100.0,-7.0,20.0531,-26.8318,-100.0,313191.0286,45092.8079,182495.1622,72,197,7.1402,92.047
10000,0.77,-100.0,-3.0,18.9831,-24.7119,-100.0,342576.0516,46926.7173,203442.939,72,184,6.5597,90.7792
10000,0.78,-100.0,-3.0,17.3196,-22.4128,-100.0,378427.5484,46523.8384,227790.7346,72,185,6.1256,89.568
10000,0.79,-100.0,-3.0,15.531,-19.9636,-100.0,401714.6202,46596.683,254614.0413,72,187,5.66,88.3867
