sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
30,0.5,-78.6316,-24.3409,11.5684,-47.5976,9745315437.4282,10077398444.8682,52725973.5948,9975141502.4837,66,337207,71520.2112,25900.7141
30,0.51,-67.4313,-31.9068,9.414,-45.471,10102910520.9454,10253120059.9252,21908067.6565,10188513046.9148,72,329795,69979.8762,25351.1769
30,0.52,-70.6881,-24.3409,10.9008,-44.6654,10355148611.5009,10624153807.3011,45395361.54,10390127221.3506,72,323456,68638.7909,24853.0436
30,0.53,-56.8982,-24.3409,8.2404,-40.3165,10565547235.815,10603374226.5545,9135587.2556,10585244744.3381,73,317799,67378.8819,24408.5423
30,0.54,-55.3241,-24.3409,8.1965,-36.686,10758294472.0939,10801260669.8545,10478612.167,10782236667.3428,73,311544,66167.1302,23962.2218
30,0.55,-61.2487,-24.3409,8.5654,-38.6564,10968883831.5965,11355498193.8775,67292082.458,10996860731.7128,64,305969,64772.618,23473.5923
30,0.56,-55.3241,-15.9344,10.5498,-34.1909,11174446019.0445,11569007686.3935,68983646.2713,11199337518.1764,76,300460,63584.9731,23054.0987
30,0.57,-50.3601,-15.9344,8.8167,-34.2032,11360618340.9262,11403816126.9643,9526419.3139,11384546699.5932,78,295532,62683.2319,22695.3321
30,0.58,-50.3601,-15.9344,8.8376,-28.4399,11566914818.9654,11605750132.6573,9807612.3444,11585202132.5634,71,290011,61574.8516,22299.8462
30,0.59,-50.3601,-15.9344,9.7182,-30.3446,11765987928.6735,11803703131.0243,8797638.1427,11780969484.9572,66,285272,60552.8983,21931.3128
30,0.6,-51.3082,-6.5938,11.0807,-30.5991,11961038525.3789,11998666169.6536,8573106.9236,11982943644.8833,67,280495,59559.5118,21567.7359
30,0.61,-55.3241,-15.9344,9.7359,-30.9158,12160882538.0969,12212475921.3242,12129468.4227,12182952857.7133,74,275817,58560.301,21212.3718
30,0.62,-50.3601,-6.5937,10.7536,-25.1503,12360695818.7147,12399224671.927,9421866.6107,12381799943.3679,71,271481,57619.1601,20872.5962
30,0.63,-63.8125,-6.5937,11.5963,-26.6312,12568110132.6573,12598417389.5369,7311568.9506,12584272268.4198,78,266955,56700.3797,20537.9436
30,0.64,-44.8445,-6.5938,9.3283,-21.0391,12753028849.9005,12804956979.2331,10974289.8003,12777401158.3572,71,263044,55840.0136,20224.6282
30,0.65,-55.3241,-6.5938,9.644,-23.1064,12962218681.9652,13005428018.4224,10305948.7971,12985201192.6773,75,258792,54958.2767,19905.5705
30,0.66,-46.2045,-6.5937,9.9625,-21.2884,13168078943.5243,13205449814.314,9633915.3496,13186734382.1745,73,254809,54096.435,19595.9051
30,0.67,-44.8445,-4.0625,10.2195,-19.2783,13358636254.3341,13397110684.2872,9011767.0167,13380007227.5613,75,251022,53334.3635,19318.491
30,0.68,-46.345,-6.5937,9.9495,-16.8355,13570912848.3505,13598992848.3505,6125877.0324,13582981818.0737,71,494406,103370.6837,36598.5259
30,0.69,-38.7162,-4.0625,9.6843,-15.4975,13762248754.3341,13802612219.8074,7816122.2602,13780318326.66,73,487309,101889.8466,36075.1333
30,0.7,-31.9068,-4.0625,7.6185,-15.5106,13963370431.936,14002733985.8444,9666594.8662,13983584411.6741,75,480186,100401.8176,35550.7926
30,0.71,-31.9068,-4.0625,8.5789,-14.5863,14162254133.6605,14200903498.3306,8959075.9778,14180876769.744,75,473523,99008.5994,35056.9062
30,0.72,-44.8445,-6.5937,7.6303,-11.6068,14361544300.6483,14396157947.9967,8293494.8196,14380408395.8323,65,467045,97639.1357,34572.5012
30,0.73,-44.8445,-3.4223,8.2365,-10.1939,14565243498.3306,14606703498.3306,8948319.1021,14582578158.8768,75,460742,96277.6429,34090.1531
30,0.74,-31.9068,-4.0625,7.1301,-8.2977,14755434133.6605,14806534133.6605,12207426.1259,14783222071.5214,74,455164,94982.2931,33629.7469
30,0.75,-44.8445,-4.0625,8.7963,-9.5944,14960192848.3505,15005834133.6605,10863080.3809,14982047953.2852,70,448309,93714.4028,33185.3901
30,0.76,-15.9344,-3.8401,2.2884,-5.4,15158284133.6605,15202889133.6605,9442411.6183,15180804537.5784,71,442633,92487.266,32749.7691
30,0.77,-31.9068,-4.0625,5.2879,-6.2341,15363554133.6605,15400832219.8074,6668280.3318,15382230547.9118,73,436158,91286.8782,32321.284
30,0.78,-24.3409,-2.375,5.4041,-6.4432,15567774133.6605,15601952848.3505,8342466.599,15582612552.1832,73,430707,90107.1012,31908.0802
30,0.79,-15.9344,-2.375,4.4432,-6.534,15770014133.6605,15792264133.6605,6179289.7921,15780859376.0309,74,425393,88981.632,31507.5358
