sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
4,0.5,-21.1449,-15.8405,2.0579,-17.6559,89.3103,89.9961,0.2952,89.5959,0,0,0.0,0.0
4,0.51,-62.592,-10.5288,20.6695,-45.1945,89.1449,203761808.3366,88231412.4222,50940519.1978,912,209451,50848.3513,24778.0
4,0.52,-49.0066,-14.0544,14.862,-30.5232,89.3639,392194292.6424,195200795.995,195196731.7372,506,279158,60871.76,26182.2381
4,0.53,-45.9668,-29.2708,7.2642,-36.7308,576515239.3019,613717204.7046,13570456.83,595526056.6739,536,357844,79041.8957,32258.3409
4,0.54,-30.1879,-22.3966,3.1125,-25.0791,784858535.5816,803013523.2311,7005466.6498,792888297.4403,311,266675,59715.8741,24272.5341
4,0.55,-38.0112,-20.9949,7.4512,-29.0075,974606773.8756,1002130218.6875,10703965.9753,989981268.1191,297,428045,94783.9501,36925.7391
4,0.56,-25.5885,-19.1648,2.3057,-22.531,1169196495.8436,1200007464.9926,11615780.0229,1182782007.316,259,354173,78699.0252,30958.5109
4,0.57,-20.141,-16.0002,1.5954,-17.8567,1376298682.5157,1399617820.0405,9675938.4937,1386098355.2157,199,307659,67569.3761,26529.9783
4,0.58,-21.0107,-13.5501,2.8187,-16.9039,1590312916.3713,1597762287.6966,2873419.0737,1594073563.2647,229,266981,58992.4035,23038.9348
4,0.59,-14.3204,-12.3707,0.7647,-13.5327,89.2835,1806627727.8972,778611317.4563,1348557242.9063,173,471522,102248.2184,38938.2083
4,0.6,-22.3655,-11.6182,4.1377,-16.2319,1967840162.8361,1995040297.2052,9903220.9671,1983709026.0052,218,427420,92917.5799,35263.6146
4,0.61,-15.832,-9.8688,2.1804,-12.4287,2184613569.7152,2208342622.4055,9695570.6888,2191676831.36,168,383204,83978.4767,31950.9896
4,0.62,-14.3375,-10.6272,1.3518,-12.2692,2386554523.7417,2409564670.0633,8521204.3708,2396016470.4439,158,350638,76842.4242,29165.4375
4,0.63,-11.5475,-8.8034,1.0091,-9.898,2579782767.4419,2599146556.6801,7734491.2046,2588674152.5258,160,323558,71069.3479,27012.2604
4,0.64,-12.3531,-9.6251,1.1512,-11.2177,2782906095.9635,2806643485.0856,8476331.1285,2795408629.1769,158,301952,65931.3677,25054.0938
4,0.65,-13.1688,-7.7532,2.1671,-10.2685,2964655079.6205,2986268701.0234,8892223.8256,2979738007.8786,150,282956,61786.8497,23527.2604
4,0.66,-13.1949,-6.8959,2.4531,-10.0784,3174264977.9579,3200246145.3306,9461522.7072,3187755873.4781,144,265782,57904.147,21993.8125
4,0.67,-8.6848,-5.899,1.014,-7.5318,3390058214.886,3398704474.6863,3503155.9414,3395397832.6547,124,495568,106757.8918,39534.3
4,0.68,-8.7213,-7.082,0.6869,-8.0856,3583703972.5494,3601578727.7664,6688604.1219,3590594571.9092,134,467101,100843.709,37391.05
4,0.69,-8.7852,-6.8401,0.6885,-7.7921,3778344721.3318,3797143762.6835,7301633.2671,3784865484.1685,132,444176,95864.741,35474.73
4,0.7,-10.5288,-6.8307,1.4967,-8.0115,3978609005.235,3994290614.8677,5834331.7239,3986581993.1829,122,421209,91007.6818,33682.61
4,0.71,-6.8307,-4.92,0.6757,-5.8849,4190337055.7866,4205644776.4239,5904061.4976,4195634910.582,110,400416,86401.4932,32007.29
4,0.72,-9.616,-4.977,2.1135,-7.5178,4383498753.1707,4389306083.5481,2070165.7629,4386194603.5987,110,382436,82702.559,30608.23
4,0.73,-5.8708,-4.901,0.4802,-5.3907,4590432163.3664,4606710824.6004,6177914.4734,4597203186.5871,94,367702,78970.2615,29220.19
4,0.74,-8.7396,-5.852,1.1695,-6.821,4779570315.0468,4798549709.2794,7019796.3617,4791092444.8478,102,349930,75726.352,28040.18
4,0.75,-6.8307,-4.92,0.9391,-5.8732,4984413191.4928,4990181785.6518,2380540.1049,4988506686.8379,106,335469,72606.731,26901.51
4,0.76,-4.92,-3.9596,0.4131,-4.6752,5183539964.7984,5199676335.2807,6136062.9855,5192321495.4683,100,323670,69873.2205,25872.78
4,0.77,-4.9295,-3.9404,0.4922,-4.4374,5376422828.3881,5399946184.5019,9008864.2908,5391645006.1832,104,312073,67337.0837,24928.61
4,0.78,-6.7935,-3.9884,1.0493,-5.3884,5584727468.3924,5598004174.0435,4956389.5312,5591792261.4469,94,300208,64845.9099,24018.12
4,0.79,-6.8121,-3.95,1.0652,-5.3859,5782983872.8214,5799985782.0885,6337298.0238,5793491864.9506,100,290732,62655.1435,23205.74
