sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
4800,0.5,-24.7078,-6.96,2.3079,-12.004,89.1344,5044509193.578,352389887.1951,4966535973.8365,47,341592,72668.3584,26911.1384
4800,0.51,-25.6826,-6.8212,2.2116,-11.4147,89.3206,5346486748.6707,357737234.1845,5267369447.9802,53,322781,68553.594,25387.1038
4800,0.52,-26.0961,-6.1042,2.1678,-10.8489,89.1344,5644612764.7604,290950513.4067,5575943318.37,44,304791,64886.0692,24030.1852
4800,0.53,-21.0867,-5.88,2.0727,-10.3675,89.4271,5955526086.0837,282118309.894,5878027642.7221,49,289559,61582.0937,22806.4379
4800,0.54,-22.3105,-5.88,1.9799,-9.8602,89.4005,6251180134.6844,200301747.0648,6185039288.7196,48,274992,58604.4139,21702.972
4800,0.55,-19.8847,-5.852,1.889,-9.4395,89.3472,6543204810.2666,265225373.3257,6480809420.0351,44,262302,55899.3877,20700.6523
4800,0.56,-19.9325,-4.9293,1.7954,-9.0262,89.4005,6840718292.8602,139421329.9934,6788769955.5293,44,499351,105086.4111,38004.9641
4800,0.57,-18.3068,-4.9293,1.6609,-8.6495,89.4805,7142967208.9498,145501874.3972,7088643312.894,41,477784,100644.3249,36398.9817
4800,0.58,-17.3831,-4.901,1.6218,-8.2673,89.3472,7442733532.7723,151571102.1709,7388506406.6912,45,458276,96564.6879,34923.7185
4800,0.59,-17.5307,-4.901,1.5836,-7.9815,7640412285.2901,7740450215.3578,14932746.319,7691597216.2138,42,440258,92802.0583,33562.561
4800,0.6,-17.457,-3.9404,1.56,-7.6671,7942071606.7618,8041367855.3524,14644892.4656,7991249067.486,42,423834,89325.8149,32306.1106
4800,0.61,-16.6729,-3.9976,1.4667,-7.3622,89.4538,8346687636.669,120579588.2373,8289853183.879,38,408417,86089.455,31136.1981
4800,0.62,-15.7057,-3.9404,1.3949,-7.0789,8541173319.8652,8643538361.5089,14530450.3197,8591994991.7432,41,393943,83082.9365,30048.4204
4800,0.63,-16.6232,-3.9404,1.3953,-6.8545,89.4805,8948760959.2688,129132151.8426,8889810408.5182,39,380903,80290.4426,29037.6426
4800,0.64,-13.9942,-3.9404,1.3178,-6.5788,9133476043.7542,9246301672.8356,14439948.5677,9191412392.0123,39,368219,77672.1098,28091.4115
4800,0.65,-13.2806,-2.999,1.2961,-6.3969,9440889846.8131,9546791154.0668,14371792.2305,9491474845.3971,38,355827,75219.8993,27203.7223
4800,0.66,-13.2289,-3.9404,1.2545,-6.1515,9739474390.1894,9851042750.8521,14244718.2649,9791562312.1866,36,345148,72916.3436,26370.719
4800,0.67,-12.3263,-3.0279,1.1949,-5.9533,10043772823.1754,10142348631.699,13889783.6448,10091602464.578,38,334852,70750.2585,25587.6395
4800,0.68,-12.4047,-2.9701,1.1684,-5.7105,10340835228.2246,10444874216.4147,14015643.991,10391940292.7756,36,325336,68706.6602,24848.3649
4800,0.69,-11.3879,-2.9701,1.1164,-5.5122,10627548829.8933,10740799627.7018,13899861.327,10691550216.3363,38,316186,66781.7654,24153.2181
4800,0.7,-14.9303,-2.9701,1.1314,-5.359,10943956355.8968,11038518228.7203,13638418.4809,10991925430.507,36,307537,64957.6286,23492.8505
4800,0.71,-11.4407,-2.9701,1.0664,-5.1497,89.5071,11343739323.8528,163532333.4719,11289435651.614,36,299471,63233.6757,22869.9162
4800,0.72,-11.3879,-2.9701,1.0546,-4.9738,11534003515.6781,11643564712.7604,13608747.6109,11591841415.651,35,291550,61599.9845,22278.346
4800,0.73,-11.3879,-2.9701,1.0167,-4.8139,11843425466.502,11940661507.5109,13265431.0129,11891482638.4026,36,284093,60048.9788,21717.5529
4800,0.74,-10.4929,-2.9701,0.9897,-4.6418,12144206511.062,12234116374.8704,13081824.9687,12191791664.8804,35,277184,58570.4438,21182.351
4800,0.75,-10.4662,-2.3506,0.9374,-4.4662,12441601020.9105,12543688613.149,13179843.9495,12491576791.1865,35,270440,57165.9442,20674.7665
4800,0.76,-10.4662,-1.99,0.9348,-4.3243,12742561642.1701,12839368312.5823,12880453.851,12791740295.7308,35,264114,55824.6145,20189.8152
4800,0.77,-10.9457,-1.99,0.9194,-4.1654,13046077671.9328,13134155395.4564,12613735.2833,13091621577.6009,35,257808,54546.7842,19727.6123
4800,0.78,-8.6483,-1.99,0.8844,-4.0252,13340977368.6666,13438206526.6768,12292183.5032,13391658260.7856,35,500864,53836.2981,19401.2333
4800,0.79,-8.6483,-1.99,0.8441,-3.8688,13641637495.2135,13740367194.9799,12171143.0974,13691519534.2361,35,492473,102621.8465,36307.8147
