sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean

4000,0.5,-20.7794,-4.9573,1.9014,-9.3917,89.4278,10088755947.0973,353597549.4455,9978667295.5578,27,339929,71455.8243,25843.1821

4000,0.51,-20.6386,-4.9573,1.8708,-9.0396,89.4808,10468160437.3805,233146364.2359,10385452553.5417,28,326043,68715.0366,24851.9411

4000,0.52,-20.8732,-4.901,1.7835,-8.7367,89.4278,10859412413.468,296098394.6569,10783351371.538,27,314037,66164.3565,23930.1218

4000,0.53,-21.5716,-4.901,1.7375,-8.3975,89.4278,11269210634.1453,250976619.0113,11186005783.8906,26,303928,63798.8632,23073.9968

4000,0.54,-18.2577,-4.901,1.671,-8.1488,89.4808,11657739156.327,259887918.2845,11585791427.285,24,292707,61601.842,22278.6136

4000,0.55,-16.5486,-3.9404,1.5866,-7.8463,11910308859.0191,12059370951.0717,20172451.8827,11991515862.8202,23,282660,59549.3241,21537.311

4000,0.56,-19.0752,-3.9404,1.5657,-7.5985,89.5338,12461986424.7203,196891001.6922,12388304415.9294,26,273581,57620.9722,20841.0952

4000,0.57,-17.432,-3.9404,1.5068,-7.3482,12716676612.0705,12857276063.2422,19773115.7431,12791671649.7474,25,265023,55824.6303,20189.831

4000,0.58,-14.9046,-3.9404,1.4611,-7.0663,89.5338,13267359796.0033,209466175.5334,13188186297.8828,26,256814,54134.4046,19578.4412

4000,0.59,-14.9046,-3.9404,1.3741,-6.8572,13526597208.3681,13662523791.001,19579792.0724,13591331941.1697,26,496899,103378.1749,36575.4142

4000,0.6,-13.1254,-2.9701,1.3456,-6.6238,13913359598.0433,14050484687.8086,19213101.1562,13991526380.8935,23,482890,100421.8109,35529.6976

4000,0.61,-13.1254,-3.9404,1.3766,-6.4644,89.5338,14466678354.0838,228350244.8864,14387720689.1109,25,469819,97638.3865,34543.1358

4000,0.62,-13.1769,-2.9701,1.3264,-6.2114,14716524247.6357,14865257242.9251,19314037.8041,14791015229.3647,23,456824,94999.7978,33610.7198

4000,0.63,-13.9942,-2.9701,1.2747,-5.9962,15126289602.8445,15254242819.1585,19454115.5123,15191278438.9833,24,444217,92493.1644,32725.0365

4000,0.64,-13.9942,-2.9701,1.2266,-5.8135,15522569208.7779,15655650456.7334,18820001.63,15591708185.2967,24,433891,90121.8115,31885.1163

4000,0.65,-12.3518,-2.9701,1.2457,-5.6832,15921811021.13,16058970212.4883,19064884.6363,15991746614.4877,23,422118,87870.2075,31088.4621

4000,0.66,-11.414,-2.9701,1.1897,-5.4576,16327135009.8691,16464338911.9693,18865132.9475,16391557900.9428,23,411559,85725.1098,30330.1533

4000,0.67,-12.2479,-2.9701,1.1144,-5.2797,16731132836.7047,16864534655.5079,18462269.4657,16791555484.474,23,402090,83685.3198,29607.9439

4000,0.68,-11.414,-2.9701,1.122,-5.1561,17127295611.1414,17251658845.7083,18875038.7727,17191241231.3498,23,392467,81741.6227,28920.252

4000,0.69,-11.3615,-2.9701,1.0684,-4.9718,17524018019.7944,17650735455.03,18048521.5513,17591448445.6089,23,383347,79881.6578,28262.2616

4000,0.7,-13.1769,-2.9701,1.0663,-4.8371,17928428037.2582,18061900828.2588,18482487.8531,17991262548.7785,23,374914,78108.9224,27634.3332

4000,0.71,-11.3615,-2.9701,1.018,-4.6557,18324663687.526,18448704932.2513,18107087.8443,18391428839.8309,23,367119,76410.6262,27033.763

4000,0.72,-9.5618,-1.99,1.0173,-4.5287,18728222499.4516,18855337839.5964,18137990.9731,18791380276.491,23,358870,74782.1632,26458.3794

4000,0.73,-10.4662,-1.99,0.9694,-4.3467,19131864282.0912,19258385280.0821,17633482.0102,19191399503.154,23,351370,73225.1601,25907.2039

4000,0.74,-10.4662,-1.99,0.9774,-4.2635,19528663825.7839,19657827103.2301,17482468.9635,19591476541.257,23,344322,71731.511,25378.447

4000,0.75,-8.7564,-1.99,0.939,-4.0912,19928186663.8758,20048666067.9006,17583964.247,19991496489.3149,23,337373,70295.1597,24870.6224

4000,0.76,-10.4662,-1.99,0.9142,-3.9853,20330586663.8758,20456307711.6663,17066155.2224,20391443995.6116,23,330588,68917.906,24383.2113

4000,0.77,-8.6483,-1.99,0.8711,-3.8301,20736706067.9006,20852905628.5639,16684505.6236,20791765163.3933,23,324481,67590.5878,23913.7121

4000,0.78,-10.4662,-1.99,0.8694,-3.7194,21121116849.6413,21244876512.7634,16617208.6976,21191792829.5628,23,318185,66316.2067,23462.5484

4000,0.79,-7.7802,-1.99,0.8213,-3.5713,21540038947.271,21650108320.4628,16136236.5534,21591396524.8286,23,312330,65088.8661,23028.8465

