sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
1000,0.5,-15.9344,-15.9344,0.0,-15.9344,84.0656,120033.5798,3824.1156,393.1386,67,160,14.7892,113.2362
1000,0.51,-15.9344,-15.9344,0.0,-15.9344,84.0656,48146.8706,3128.7868,565.832,62,155,14.5957,112.731
1000,0.52,-15.9344,-15.9344,0.0,-15.9344,84.0656,187196.1749,6499.0099,734.8249,65,152,14.3725,113.4966
1000,0.53,-15.9344,-15.9344,0.0,-15.9344,84.0656,147523.508,6426.6825,952.0306,73,151,13.5604,112.5781
1000,0.54,-15.9344,-15.9344,0.0,-15.9344,84.0656,126317.6653,5538.5444,940.5978,65,154,13.7833,111.9818
1000,0.55,-15.9344,-15.4655,0.0148,-15.9339,84.0656,1835719.9746,63353.8084,4075.4404,65,150,12.7873,111.1624
1000,0.56,-15.9344,-15.9344,0.0,-15.9344,84.0656,987463.053,47550.7688,4700.7766,55,148,12.1196,110.5301
1000,0.57,-17.9795,-6.5937,0.4268,-15.9197,84.0656,11389969626.6328,508812024.3348,22796703.9049,72,294990,10776.5114,703.4813
1000,0.58,-17.8907,-6.5937,0.5489,-15.9031,84.0656,11596031755.5202,731588240.8854,46380458.8486,62,289349,13816.0803,1104.1752
1000,0.59,-17.293,-6.5937,0.794,-15.8662,84.0656,11806852848.3505,1050089370.7312,94391942.5188,71,285295,17336.3413,1706.6392
1000,0.6,-18.1801,-6.5937,1.3715,-15.7303,84.0656,12001689242.4787,1796400717.3851,275676241.7514,69,280375,25004.5714,3517.5387
1000,0.61,-17.6959,-6.5937,1.6814,-15.6185,84.0656,12205323498.3306,2239531185.0101,426578505.849,66,275954,29134.2578,4854.4565
1000,0.62,-17.8307,-6.5937,1.9505,-15.5131,84.0656,12410586563.8607,2621272693.5279,582292436.5524,67,271353,30082.0324,5265.9803
1000,0.63,-18.3413,-6.5937,2.3083,-15.3454,84.0656,12608742219.8074,3124094011.8804,830699484.7265,69,267085,32548.261,6276.4418
1000,0.64,-18.0821,-4.0625,2.7505,-15.0471,84.0656,12809450280.1906,3783250381.3748,1240082341.8053,70,263153,36098.7417,7896.9988
1000,0.65,-17.5384,-4.0625,3.4786,-14.3893,84.0656,13006940942.1002,4842619397.4122,2168429462.3323,63,259148,40833.5309,10395.0559
1000,0.66,-18.176,-4.0625,3.7945,-14.0402,84.0656,13203969947.9967,5302320133.8777,2676136087.5073,66,255470,41584.0141,10986.5395
1000,0.67,-18.4521,-4.0625,4.133,-13.5395,84.9063,13413803498.3306,5832929840.1056,3412703762.9457,66,251332,43022.1922,12021.2036
1000,0.68,-18.302,-4.0625,4.5353,-12.7537,84.9063,13607853498.3306,6415338773.7069,4563847825.6578,70,494832,88592.8036,25971.5524
1000,0.69,-17.9469,-4.0625,4.743,-11.9711,84.0656,13810963498.3306,6795545811.1932,5747491153.2963,71,487604,90480.2738,27674.8783
1000,0.7,-18.0829,-4.0625,4.8869,-11.4876,84.0656,14013242848.3505,6968792734.885,6432134767.5767,69,480593,90359.6516,28073.2063
1000,0.71,-17.4708,-4.0625,4.9295,-10.5222,88.3538,14210463498.3306,7049378005.3568,7856834394.6864,66,473822,92131.0339,29815.3096
1000,0.72,-18.0129,-2.375,5.0076,-10.1117,84.0656,14417263498.3306,7088728978.6985,8399204341.5093,68,467298,91334.1063,29749.1548
1000,0.73,-17.9133,-2.375,4.7997,-9.0656,84.0656,14608454133.6605,6790855213.3259,9945186157.579,69,461023,91745.5912,30567.9488
1000,0.74,-17.1694,-2.375,4.819,-8.5775,89.2374,14810048897.8926,6700917390.1893,10510685395.0772,63,454561,91193.382,30672.9435
1000,0.75,-17.7583,-2.375,4.5444,-7.8039,87.479,15014643498.3306,6246257508.0331,11626176307.7901,69,448612,90776.8689,30870.6772
1000,0.76,-15.9344,-2.375,4.1666,-7.0272,84.0656,15206472848.3505,5648915917.1145,12661992992.1074,67,442731,90427.4304,31117.32
1000,0.77,-18.0985,-2.375,4.1224,-6.6036,91.9413,15408594133.6605,5492421615.1897,13074843729.8163,69,436784,89451.2461,30866.2235
1000,0.78,-18.0924,-2.375,3.693,-6.0503,91.9413,15612683498.3306,4836260723.1555,13899116643.631,66,431199,88935.3321,30967.0044
1000,0.79,-16.1453,-2.375,3.539,-5.6905,101.5604,15815803498.3306,4561399526.6136,14330186773.6337,66,426135,88033.4782,30751.2093
1000,0.8,-16.2213,-1.25,3.2273,-5.0886,95.6745,16008954133.6605,3995817235.6834,14911235074.5492,68,420480,87236.4082,30608.7085
1000,0.81,-15.9344,-2.375,2.7595,-4.597,89.2374,16208414133.6605,3282712971.7788,15486669842.2152,65,415360,86417.6023,30438.7784
1000,0.82,-15.9344,-1.25,2.4403,-4.2945,88.3538,16409704133.6605,2794599072.5441,15890856320.2206,67,410218,85432.1718,30121.8351
1000,0.83,-15.9344,-1.25,2.4016,-3.9841,157.3494,16605054133.6605,2687682625.4964,16134521227.5944,65,405191,84422.7067,29773.3451
1000,0.84,-15.9344,-1.25,2.0905,-3.6149,84.9063,16804754133.6605,2231203669.7903,16480092373.2194,65,400225,83542.0327,29519.8652
1000,0.85,-15.9344,-1.25,1.5426,-3.2831,141.036,17002754133.6605,1311494110.041,16880566872.6766,69,395706,82641.8755,29240.599
1000,0.86,-15.9344,-1.25,1.6488,-3.1044,545.804,17204214133.6605,1622674836.3236,17027410491.2067,67,390925,81660.0003,28881.9892
1000,0.87,-15.9344,-1.25,1.2421,-2.8249,107.8084,17404514133.6605,776586448.2618,17347448273.0383,66,386544,80774.1996,28593.1565
1000,0.88,-16.891,-1.25,1.4949,-2.7236,315.7629,17599123498.3306,1357802237.7701,17476669187.4021,68,382056,79830.001,28246.2272
1000,0.89,-15.9344,-1.25,1.161,-2.3615,3208.0509,17805414133.6605,972519914.6791,17728766552.9607,67,377706,78943.8227,27937.5722
1000,0.9,-15.9344,-1.25,1.0211,-2.1784,566703.1382,18003234133.6605,568371905.5348,17964069412.5474,66,373506,78084.0887,27641.2441
1000,0.91,-15.9344,-1.25,0.8945,-1.9659,49011.4631,18201694133.6605,574710579.0367,18163959604.7676,68,369325,77230.2486,27340.6001
1000,0.92,-6.5937,-0.5,0.7544,-1.8149,18366324133.6605,18404774133.6605,5298015.1895,18382121901.7545,69,365299,76401.8745,27052.7339
1000,0.93,-15.9344,-0.5,0.8015,-1.6392,1893.2521,18596514133.6605,587337485.7011,18563292352.6494,68,361332,75575.0187,26757.7906
1000,0.94,-6.5937,-0.5,0.5746,-1.5066,18767894133.6605,18798034133.6605,4829702.8444,18782121285.5252,66,357440,74774.9714,26476.8082
1000,0.95,-4.0625,-0.5,0.4842,-1.341,18965594133.6605,18996434133.6605,4475116.2083,18982122453.6605,69,353597,73988.7941,26198.2266
1000,0.96,-4.0625,-0.5,0.4583,-1.1807,19170274133.6605,19193234133.6605,3939445.9493,19181955953.6605,69,349923,73218.6068,25925.4864
1000,0.97,-4.0625,-0.5,0.4172,-0.9786,19371914133.6605,19393934133.6605,3341517.0791,19382142233.6605,69,346203,72463.1429,25657.9388
1000,0.98,-4.0625,-0.5,0.394,-0.7807,19573954133.6605,19591114133.6605,2812086.703,19582094128.6605,69,342691,71723.8271,25396.3655
1000,0.99,-2.375,-0.2767,0.2304,-0.5768,19776234133.6605,19788154133.6605,1902320.5135,19782047843.6605,69,339096,70999.2854,25139.7909
