sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
1000,0.5,-99.977,-90.0552,2.7554,-95.0889,9.0034,9.9991,0.2854,9.5605,107,12830,1167.6734,868.9947
1000,0.51,-100.0,-83.4963,3.0792,-96.6998,9.0,2535052906.7982,226349743.9514,29929507.8941,102,573603,29556.8611,5925.8467
1000,0.52,-99.9996,-69.6189,4.1676,-96.0735,9.0039,4588472861.1412,1256351773.5639,1576283635.6065,98,718004,77445.8415,28825.704
1000,0.53,-99.9892,-62.1925,7.5324,-89.3818,9.0343,5031442881.5926,1064075411.3433,2999412057.1808,98,741680,79876.443,30079.9991
1000,0.54,-99.4743,-51.491,9.4556,-81.7678,9.208,5253962225.0105,916327125.8521,3769005832.1986,98,652016,80809.1034,30362.3553
1000,0.55,-98.8203,-44.2315,9.8396,-75.1274,9.5076,5401533066.0505,680425106.5045,4388978203.8578,93,649450,80021.9732,29895.0643
1000,0.56,-96.7801,-43.2228,10.2437,-68.5183,1717189859.9235,5555582990.6332,587518786.9283,4833793545.1339,93,648739,74974.2152,27908.3096
1000,0.57,-96.0658,-35.6252,10.3465,-63.3984,2421634115.3127,5684292154.7461,524767338.1703,5094837235.4247,89,663312,71550.3102,26532.5489
1000,0.58,-92.9131,-33.6746,9.8818,-59.8979,3362172823.7951,5790251508.5077,423052024.4094,5388308310.3624,88,668136,67523.2428,25160.3309
1000,0.59,-89.9998,-31.15,10.0827,-56.2152,3950725735.4648,5891513852.8502,319347464.3013,5630753652.361,89,577405,64297.1975,24023.0578
1000,0.6,-88.1336,-27.7846,9.7983,-52.4612,3540088637.9178,5996227618.5524,287394887.4555,5799681068.1546,88,468039,62572.5189,23310.2537
1000,0.61,-81.6098,-26.8563,9.4154,-49.2727,3810310606.8304,6098008199.2597,229430528.7768,5960088429.3787,85,469857,60955.8797,22670.2153
1000,0.62,-79.9531,-19.7302,9.4434,-46.5458,3481630367.184,6196864264.3602,187052213.7556,6097961844.8382,87,451264,59754.691,22177.04
1000,0.63,-74.0472,-23.5,8.9478,-43.5712,4336980658.2457,6301046300.1679,151528875.4314,6230547446.8136,77,487633,58246.8147,21647.954
1000,0.64,-75.729,-17.6872,8.6301,-41.3659,4238749021.7122,6402860839.764,147440450.1889,6340144007.5758,84,448685,57127.81,21229.3445
1000,0.65,-78.3941,-23.3769,8.7436,-39.4487,5331450572.0632,6506650703.1467,92903006.8485,6459884839.7672,84,436070,56267.2825,20868.1046
1000,0.66,-73.9024,-15.0,8.7099,-37.6181,5889045575.9355,6603139540.2124,49370104.8277,6576457799.1726,81,349415,55154.8949,20463.8134
1000,0.67,-69.5442,-15.0,8.6342,-35.4149,5443319474.6659,6703879202.9021,77641059.0406,6674918770.7537,77,303781,54294.1914,20141.1805
1000,0.68,-69.0744,-15.0,8.5144,-33.8089,6101585420.7034,6803055570.1912,32921051.2108,6783748334.5385,78,495245,104508.935,37759.3089
1000,0.69,-70.705,-7.0,8.4886,-32.4079,6187498324.2556,6903966457.6772,36398598.0524,6884005119.6014,78,508033,103284.0001,37345.9888
1000,0.7,-59.3448,-15.0,8.431,-30.5485,6347117121.4656,7007937611.8802,29218268.501,6987176144.0059,77,506529,101993.4341,36892.1839
1000,0.71,-61.2233,-15.0,7.9281,-29.0454,6885813889.1563,7103768454.928,12883457.1794,7089036779.8825,77,501834,100645.6224,36413.3045
1000,0.72,-57.5905,-7.0,7.8224,-27.1976,7071746319.3301,7205528589.8131,7256399.3094,7189991942.9934,78,467484,99245.8521,35902.3339
1000,0.73,-54.8275,-7.0,7.5949,-25.5393,7138304052.8611,7305678636.4445,7555981.7001,7290363656.3252,77,461029,97885.4559,35408.5881
1000,0.74,-55.1653,-7.0,7.5764,-24.3715,7299575866.9831,7404394350.7755,5771777.1405,7390714895.1401,75,454647,96563.9895,34928.4874
1000,0.75,-54.8275,-7.0,7.6527,-22.6936,7405732303.915,7505626730.1954,5737399.6342,7491210164.3197,75,448730,95270.299,34460.0749
1000,0.76,-54.8275,-7.0,7.5651,-21.6578,7551806161.0689,7604127002.454,4541135.1775,7591176179.0111,73,442757,94020.6513,34006.9184
1000,0.77,-49.8084,-7.0,7.3028,-20.5887,7671881366.5301,7703825152.7196,4322711.3225,7691540769.6425,74,436879,92797.371,33563.5185
1000,0.78,-49.8084,-7.0,7.0914,-18.7563,7778408589.8131,7804256128.2658,4193812.2683,7791030811.8336,74,431327,91613.8654,33134.8932
1000,0.79,-44.2315,-7.0,6.9491,-17.5547,7878227611.8802,7903273672.726,4134004.4179,7891257169.8007,73,425868,90455.1026,32714.7531
