sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
5000,0.5,-84.5476,-19.3516,10.8684,-44.5283,7937199270.2972,10700489326.5303,62346100.8397,9977311025.9472,86,476853,71462.6543,25899.1217
5000,0.51,-86.6674,-18.4727,10.8727,-42.1299,8780909224.2527,10846647094.8167,50317330.4561,10179338531.4712,89,416765,70048.6091,25382.8077
5000,0.52,-87.8951,-10.3906,10.9413,-40.0104,9319666928.6908,11021130120.1266,38098174.9029,10380231096.3365,88,390931,68701.4197,24893.0144
5000,0.53,-83.845,-10.3906,10.9818,-37.9708,9954848312.6019,10909222806.6207,24544678.814,10580463712.6848,82,377028,67399.4854,24420.4561
5000,0.54,-79.5002,-6.8492,10.7441,-35.8144,10571085974.7745,10917637945.1235,14046283.4913,10781394187.2674,82,312688,66150.147,23965.8813
5000,0.55,-81.5502,-8.9801,10.8128,-33.933,10675272827.4731,11178733230.0256,13104641.0232,10981482786.8175,84,324380,64949.2286,23529.2395
5000,0.56,-85.0557,-6.5938,10.8324,-32.0501,11041079470.675,11526403547.3258,12510860.4327,11181816480.7449,86,301362,63786.8405,23108.1417
5000,0.57,-72.6433,-6.5937,10.6923,-30.2315,11229956203.0799,11727167171.8699,11714369.9908,11382050767.8471,82,303643,62666.8981,22702.3609
5000,0.58,-79.5002,-6.5937,10.6004,-28.467,11478360901.4248,12281468053.6169,14145807.7105,11582034709.5019,85,290959,61588.5988,22310.9921
5000,0.59,-71.8796,-6.5937,10.48,-26.4308,11696319286.9181,11936622215.4438,10231983.8201,11782084737.6799,82,286055,60544.1629,21932.1308
5000,0.6,-74.6917,-6.5937,10.5377,-24.6558,11932237818.8054,12076619031.0103,9967110.9995,11981880834.2602,83,281311,59536.6315,21566.8314
5000,0.61,-68.7551,-6.5937,10.1572,-23.0842,12124546249.4238,12222902352.475,9752983.2477,12181793437.8468,82,276503,58560.9583,21213.7407
5000,0.62,-65.2835,-4.8233,9.9928,-21.2801,12347491972.9947,12452752125.3108,9913685.1636,12381867938.203,83,272087,57616.8674,20871.6127
5000,0.63,-71.1542,-4.0625,10.022,-20.0214,12547100101.2974,12629898876.3932,9712362.3849,12582008732.6693,81,267767,56701.8601,20540.0035
5000,0.64,-61.4261,-4.0625,9.8296,-18.4838,12749451474.932,12814820101.2974,9591181.8906,12781974887.2585,74,263572,55815.9607,20218.9746
5000,0.65,-61.4261,-4.0625,9.3461,-16.8161,12943457162.0038,13021134256.1134,9569921.2326,12981980622.5113,79,259583,54956.6177,19908.0429
5000,0.66,-66.298,-4.0625,8.818,-15.6974,13149531972.9947,13213205008.8169,9581007.3782,13182056949.3334,79,255466,54123.1166,19606.0622
5000,0.67,-61.4261,-4.0625,8.4856,-14.3145,13351714256.1134,13416330828.1744,9368664.2282,13382019857.9856,79,251537,53317.0739,19313.6435
5000,0.68,-57.1401,-4.0625,7.928,-13.1386,13547970101.2974,13612120101.2974,9194733.3527,13582041476.3997,77,495208,103367.2986,36600.5617
5000,0.69,-65.2835,-4.0625,7.4146,-11.9283,13747414133.6605,13821886028.364,9254523.804,13782204992.4996,77,488187,101867.1499,36069.654
5000,0.7,-65.2835,-2.375,7.0679,-10.9895,13944714133.6605,14015834133.6605,9322987.3593,13982139496.3495,78,481078,100413.5695,35554.6524
5000,0.71,-57.1401,-2.375,6.4087,-10.042,14148618304.7368,14212500101.2974,9166919.9984,14182183356.2407,74,474091,98997.1347,35053.6073
5000,0.72,-47.0866,-2.375,5.7846,-9.2878,14349428304.7368,14414314256.1134,9016696.3808,14382057974.6184,74,467608,97624.5802,34567.1454
5000,0.73,-61.4261,-2.375,5.2805,-8.4382,14550634133.6605,14613294133.6605,8880977.8823,14582099524.8132,75,461536,96286.9027,34093.5524
5000,0.74,-47.0866,-2.375,4.9711,-7.8656,14738180101.2974,14817874133.6605,8795628.791,14781916993.0965,73,454839,94986.4201,33633.2373
5000,0.75,-47.0866,-2.375,4.4622,-7.1829,14944380101.2974,15010040101.2974,8537328.8256,14982102746.2314,73,449322,93718.8102,33184.5209
5000,0.76,-47.0866,-2.375,4.2266,-6.658,15152174133.6605,15212954133.6605,8447385.2945,15182240614.2492,74,442728,92484.5622,32747.4378
5000,0.77,-47.0866,-2.375,3.853,-6.1542,15349084133.6605,15412069133.6605,8321590.0923,15382161798.4106,71,437015,91285.0252,32322.3473
5000,0.78,-34.6748,-2.375,3.1512,-5.6078,15549954133.6605,15616394133.6605,8233952.7419,15581966190.9404,73,431525,90115.0383,31908.3124
5000,0.79,-47.0866,-2.375,3.1086,-5.2713,15754774133.6605,15807984133.6605,8184734.0476,15781995341.0713,72,425826,88974.0068,31504.379
