sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
1000,0.5,-99.9979,-90.0316,2.8413,-94.9356,9.0016,9.9996,0.288,9.5411,104,9552,1038.7092,831.8111
1000,0.51,-100.0,-80.9113,3.1125,-96.7347,9.0006,2696304087.6467,196121449.1651,22343709.4662,107,662964,31654.0618,5268.4075
1000,0.52,-99.9991,-57.9559,4.5056,-95.9501,9.0035,4415938933.4955,1269000630.1925,1591972745.8647,101,746931,75875.2591,28407.6151
1000,0.53,-99.9204,-58.737,7.6095,-89.4431,9.0269,5076227466.3388,1066909528.6157,3029918901.0532,98,693055,79977.3721,30190.9404
1000,0.54,-99.8209,-50.6415,9.0524,-82.0954,9.2064,5223075547.9687,861864261.5284,3795539031.8704,96,621328,82400.8434,30879.8296
1000,0.55,-98.8586,-44.2315,9.9124,-74.6937,9.0648,5422954589.0965,713940810.2537,4378698903.0852,96,654059,79801.95,29859.7367
1000,0.56,-94.0531,-38.6663,9.7052,-69.4469,1924910800.6151,5561353965.9101,608137792.6734,4762857515.5292,93,618917,75657.5215,28109.459
1000,0.57,-91.1052,-37.0109,10.2912,-64.4184,2785259046.4464,5670115175.7956,467743372.2514,5152807972.4382,91,585697,70607.3331,26311.4594
1000,0.58,-89.9686,-33.6746,10.136,-59.4035,2642979167.7044,5779402308.3671,387953730.8567,5417723716.0838,91,674455,67421.8379,25114.2008
1000,0.59,-90.7433,-31.15,10.0033,-55.7296,3123176998.2017,5892977644.2667,347773417.6984,5607511912.8674,90,593780,64960.2194,24157.19
1000,0.6,-89.3287,-27.7572,9.8985,-52.6744,3852274164.8244,5994176744.4837,284292654.6771,5802145251.071,90,574994,62592.5687,23314.9663
1000,0.61,-78.9473,-23.5,9.297,-49.305,4017953427.9958,6099324361.3504,236586454.1155,5952043929.6438,88,482922,61120.3703,22717.3423
1000,0.62,-81.0559,-24.0721,9.1662,-46.3057,4418428811.1103,6199776622.7448,183119259.2109,6096919314.6838,85,472160,59735.8324,22172.7945
1000,0.63,-79.2751,-23.4958,9.1556,-43.8065,3991825428.9726,6300562261.1393,166557373.2226,6223737752.8924,85,399806,58328.2756,21673.95
1000,0.64,-81.1043,-23.5,9.0706,-42.1556,4757923337.6698,6403161976.737,112545040.3734,6349601179.7497,85,395334,57145.1632,21219.4477
1000,0.65,-75.9935,-18.324,8.9707,-39.5303,4689133907.3601,6504073596.8361,107688626.6263,6462804713.1473,81,427750,56119.9795,20828.0071
1000,0.66,-68.9019,-15.0,8.7456,-37.1865,5658145115.7235,6604876712.9611,69181892.4278,6571840348.556,77,394640,55243.4472,20489.0013
1000,0.67,-69.6185,-15.0,8.6615,-35.2932,5629270330.31,6712269301.5143,65919484.8992,6677628459.4912,80,499338,54449.3385,20169.9832
1000,0.68,-70.3709,-15.0,9.1612,-34.1175,6431872242.9246,6805259000.4208,32416931.9696,6783452755.6913,79,495042,104402.0511,37707.7328
1000,0.69,-73.2608,-10.0836,8.7116,-32.253,6411967334.7354,6906304609.2634,23197232.2945,6886822338.5674,80,487925,103461.4367,37428.9361
1000,0.7,-61.4778,-15.0,8.0296,-30.4887,6818936245.7279,7004091926.1835,9885720.0038,6988851847.5977,79,480819,102075.5881,36934.3073
1000,0.71,-64.8141,-12.7103,8.2166,-28.9976,5760529416.3864,7106634863.4132,46274085.5316,7087016100.4299,77,520540,100655.8267,36416.4162
1000,0.72,-57.3414,-7.0,8.0196,-27.1026,7105388108.3878,7204454151.605,5871622.6423,7190359150.9662,77,467497,99241.0011,35900.3558
1000,0.73,-55.1653,-7.0,7.4892,-25.6265,6624099518.342,7308461923.1923,24796641.5058,7289642931.7084,74,460933,97854.0077,35392.7375
1000,0.74,-56.6712,-7.0,7.4555,-24.277,7349015698.1321,7403268412.2507,4949176.6993,7390911821.1183,77,454735,96559.3918,34926.8893
1000,0.75,-65.7886,-7.0,7.3661,-22.6186,7441552819.4658,7502458773.884,4937590.7282,7490967338.1348,76,448537,95273.1036,34461.2188
1000,0.76,-49.8083,-7.0,7.3967,-21.7293,7551329803.915,7604447546.2503,4518470.717,7591121088.7788,75,442556,94021.5312,34006.6385
1000,0.77,-49.8084,-7.0,7.2248,-20.4965,7533444277.628,7704374975.7622,6626228.4933,7691054131.5383,74,436827,92801.313,33565.6668
1000,0.78,-54.8275,-7.0,6.7935,-18.7539,7770931430.2848,7806727611.8802,4261897.4475,7791321849.4201,74,431256,91611.8213,33133.6785
1000,0.79,-49.8084,-7.0,7.0321,-17.8146,7874286128.2658,7902036128.2658,4146715.4787,7891213985.6091,73,425763,90452.0075,32714.6816
