sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
9600,0.5,-99.999,-90.0078,2.7662,-95.0776,9.0002,9.9999,0.2881,9.5456,92,19848,1016.3372,777.856
9600,0.51,-100.0,-87.9035,2.9878,-96.8192,9.0001,37161652783.0039,1024497228.1299,66014194.5814,93,734820,18047.3277,2630.0757
9600,0.52,-100.0,-70.9245,3.2695,-97.1888,9.0005,55092804460.7614,13377683811.4646,13953332768.141,91,780995,72042.7584,24983.4661
9600,0.53,-99.9956,-57.6588,6.067,-92.3086,9.0005,58097764461.14,12699144774.0133,29125387231.2498,88,798028,73770.8795,25637.8264
9600,0.54,-99.8915,-53.1249,8.1409,-85.4275,9.0108,62568339565.9803,10131663657.6936,38191377121.8327,89,733204,70469.8691,24302.4712
9600,0.55,-99.1882,-39.7878,9.1773,-78.6981,9.0069,62373069314.0261,8071769352.2701,44261398803.3312,86,718996,68366.388,23344.8078
9600,0.56,-99.0315,-37.7674,9.5866,-73.0036,9.0157,63246257246.1181,6856628330.169,48380097357.6486,86,722127,71052.6776,23985.2721
9600,0.57,-97.5198,-38.9827,9.8506,-67.8829,9.1275,63634507717.9003,5760446402.7506,51645493935.7511,85,737306,77742.8571,26070.8214
9600,0.58,-96.4611,-32.2123,9.6291,-63.1564,18459500848.2771,64842246780.0558,4894535646.6361,54240598333.1452,86,572828,84330.4698,28421.0712
9600,0.59,-93.0644,-30.3592,9.6607,-59.1914,26263828095.037,64752369863.1161,3879774186.8891,56510518924.2996,84,550134,88398.903,30044.314
9600,0.6,-92.025,-27.1189,9.4974,-55.6521,27202929031.3436,65064724842.7406,3413145503.0556,58175291624.0597,83,558149,89260.0345,30425.3051
9600,0.61,-91.0633,-24.67,9.4211,-52.4501,29429766316.9758,67194765945.9917,2687130446.3231,59764625323.7757,81,562936,88992.8561,30385.7783
9600,0.62,-89.4144,-24.67,9.2061,-49.6668,34335328413.5117,68270145845.2744,2261319766.2807,61142222385.3674,82,575915,88008.5428,30038.7363
9600,0.63,-83.8489,-24.6049,8.8989,-46.9386,36351945138.2906,67988213312.8026,1856779646.7074,62382069312.7176,80,577216,86722.4306,29593.2835
9600,0.64,-84.6874,-17.4837,8.8263,-44.6069,41590398178.9374,69130556350.8587,1531193744.2596,63537714615.3036,79,580583,85388.126,29110.3283
9600,0.65,-93.1469,-17.8915,8.6847,-42.281,41277286800.393,69787077454.6913,1265435214.8107,64667914010.3368,80,579351,83965.1257,28621.0954
9600,0.66,-79.4819,-16.3,8.5938,-40.3278,33153750432.4131,69733823293.2738,959303902.5883,65756553908.5072,78,588925,82652.1286,28165.913
9600,0.67,-82.992,-16.3,8.3291,-38.3077,50576017206.1721,70688481485.3087,800158981.7953,66795785004.6172,78,581628,81409.2098,27733.0915
9600,0.68,-81.7684,-16.3,8.2917,-36.3868,52188387319.2029,71080265519.2474,556562868.7057,67831009713.8318,78,543213,80161.6574,27308.4718
9600,0.69,-81.7847,-16.3,8.1128,-34.7891,47523468636.931,72484409534.4011,484078540.4955,68856232701.5483,77,512050,78982.524,26902.2211
