sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
900040,0.5,-100.0,-6.5937,27.6812,-46.6204,-100.0,28952.4696,5515.8017,12023.0085,,,,
900040,0.51,-100.0,-6.5937,26.8728,-43.0822,-100.0,33629.0153,5722.7503,13761.8853,,,,
900040,0.53,-100.0,-4.0625,24.745,-36.5933,-100.0,41883.0403,6088.5192,17739.2223,,,,
900040,0.54,-100.0,-4.0625,23.5289,-33.6612,-100.0,43803.9743,6258.4698,19988.3642,,,,
900040,0.52,-100.0,-6.5937,25.8608,-39.704,-100.0,37342.2428,5906.7289,15666.9762,,,,
900040,0.55,-100.0,-4.0625,22.316,-30.9835,-100.0,50620.0868,6455.7118,22441.7223,,,,
900040,0.56,-100.0,-4.0625,20.9312,-28.4137,-100.0,53599.0631,6624.732,25141.6697,,,,
900040,0.57,-100.0,-4.0625,19.6487,-26.125,-100.0,60265.3602,6848.2457,28069.7546,,,,
900040,0.58,-100.0,-4.0625,18.3637,-24.01,-100.0,66252.4678,7104.897,31275.0963,,,,
900040,0.59,-100.0,-4.0625,17.0755,-22.0551,-100.0,76547.9895,7397.9232,34790.7057,,,,
900040,0.67,-100.0,-2.375,8.6828,-11.4975,-100.0,156033.1873,12301.2025,78911.8759,,,,
900040,0.75,-100.0,-1.25,3.9699,-6.3292,-100.0,314773.3065,24092.3302,175339.6043,,,,
900040,0.68,-100.0,-2.375,7.8427,-10.6248,-100.0,167295.9097,13296.1259,87248.0943,,,,
900040,0.76,-100.0,-1.25,3.5761,-5.8922,-100.0,405732.7664,26185.7538,193698.3548,,,,
900040,0.6,-100.0,-4.0625,15.819,-20.2763,-100.0,81672.2466,7743.0077,38659.1389,,,,
900040,0.69,-100.0,-2.375,7.1375,-9.8504,-100.0,182978.4411,14447.812,96396.2275,,,,
900040,0.77,-100.0,-1.25,3.2467,-5.4877,-100.0,393797.2848,28458.8845,213967.6317,,,,
900040,0.61,-100.0,-4.0625,14.6408,-18.6549,-100.0,93425.1133,8156.5534,42900.7977,,,,
900040,0.7,-100.0,-2.375,6.5142,-9.1289,-100.0,206197.37,15728.2191,106558.8267,,,,
900040,0.78,-100.0,-1.25,2.9506,-5.1165,-100.0,415939.2556,30910.4771,236265.0599,,,,
900040,0.62,-100.0,-4.0625,13.5115,-17.1708,-100.0,93895.0888,8636.9293,47542.9817,,,,
900040,0.71,-100.0,-2.375,5.8966,-8.4684,-100.0,234685.6505,17111.7157,117734.5383,,,,
900040,0.79,-100.0,-1.25,2.6627,-4.7587,-100.0,457202.5193,33577.1095,260997.983,,,,
900040,0.63,-100.0,-2.375,12.3952,-15.8048,-100.0,112888.5265,9187.723,52674.1059,,,,
900040,0.72,-100.0,-2.375,5.3324,-7.8653,-100.0,244218.8894,18637.61,130067.6915,,,,
900040,0.64,-100.0,-2.375,11.3272,-14.5642,-100.0,118067.1495,9797.4042,58304.8026,,,,
900040,0.73,-100.0,-1.25,4.8165,-7.3029,-100.0,277957.6863,20309.6055,143715.0253,,,,
900040,0.65,-100.0,-2.375,10.3944,-13.4538,-100.0,126591.1785,10545.6302,64535.3388,,,,
900040,0.74,-100.0,-1.25,4.3804,-6.7943,-100.0,295063.8371,22093.4719,158747.5693,,,,
900040,0.66,-100.0,-2.375,9.4783,-12.4212,-100.0,142658.791,11359.0868,71367.3544,,,,
