sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
800000,0.5,-88.9352,-3.214,12.802,-20.435,901.4629,56276.0232,4151.8727,16411.6174,,,,
800000,0.51,-90.0416,-3.214,12.3568,-18.7908,1435.0687,53487.6924,4299.7473,17949.8348,,,,
800000,0.53,-88.4026,-2.1605,11.3263,-15.8031,2003.593,64348.9065,4667.4992,21489.315,,,,
800000,0.54,-81.2616,-2.1605,10.7413,-14.4807,2987.2339,76915.0312,4896.1776,23520.0572,,,,
800000,0.52,-87.7057,-2.1605,11.8611,-17.2337,1645.288,58098.0092,4465.139,19633.0529,,,,
800000,0.55,-84.8219,-2.1605,10.1225,-13.2446,3249.578,73392.4936,5138.1068,25755.4282,,,,
800000,0.56,-81.2616,-2.1605,9.4857,-12.1253,3839.8974,75946.9773,5423.3717,28219.2921,,,,
800000,0.57,-83.1354,-2.1605,8.8462,-11.0796,3530.0533,76021.3956,5754.9088,30943.2755,,,,
800000,0.58,-84.7121,-2.1605,8.2169,-10.1603,5077.4875,81432.6528,6111.2225,33930.5445,,,,
800000,0.59,-81.2616,-2.1605,7.6499,-9.3599,7018.7382,83903.1737,6548.1155,37245.1912,,,,
800000,0.67,-71.4397,-1.3704,3.6145,-5.0367,23928.0263,154667.3653,12181.3752,80037.5219,,,,
800000,0.75,-46.2588,-0.7778,1.5388,-3.0411,83315.8687,332497.9996,24039.3934,175732.4193,,,,
800000,0.68,-64.7404,-1.3704,3.2446,-4.6991,32699.8308,182799.4588,13242.1296,88230.4958,,,,
800000,0.76,-46.2588,-0.7778,1.417,-2.8725,96420.4232,370969.0603,26204.7125,194062.912,,,,
800000,0.6,-74.2957,-2.1605,7.0246,-8.5838,8577.7215,92601.0486,7014.8997,40898.6457,,,,
800000,0.69,-60.8226,-1.3704,2.9546,-4.4082,35653.1162,205794.2036,14434.7967,97312.5236,,,,
800000,0.77,-56.4696,-0.7778,1.2881,-2.7124,107944.9307,386485.693,28469.0866,214238.5665,,,,
800000,0.61,-74.2957,-2.1605,6.4441,-7.9074,10530.5427,96553.9735,7525.5792,44948.2946,,,,
800000,0.7,-64.7404,-1.3704,2.6385,-4.1278,45077.4481,211739.8919,15729.1144,107360.8792,,,,
800000,0.78,-40.2875,-0.7778,1.1731,-2.5568,106394.2043,461775.5445,30944.0095,236632.5532,,,,
800000,0.62,-79.1795,-1.3704,5.9046,-7.2995,10604.8194,114901.8439,8133.3165,49417.6627,,,,
800000,0.71,-71.4397,-1.3704,2.3808,-3.8764,42341.3065,227780.6393,17106.2083,118405.2578,,,,
800000,0.79,-40.2875,-0.7778,1.0726,-2.4142,133936.9547,461775.5445,33623.8842,261295.9687,,,,
800000,0.63,-76.8662,-1.3704,5.3884,-6.7483,14704.9539,119015.578,8776.6306,54356.9578,,,,
800000,0.72,-56.4696,-1.3704,2.1455,-3.6452,50509.7776,261842.9185,18658.5699,130667.4604,,,,
800000,0.64,-71.4397,-1.3704,4.853,-6.2398,10172.819,151145.1765,9499.4577,59847.6965,,,,
800000,0.73,-64.7404,-0.7778,1.9148,-3.427,56264.2079,277957.6863,20303.5841,144235.9047,,,,
800000,0.65,-64.7404,-1.3704,4.4161,-5.8028,21584.6055,148020.1012,10291.6968,65896.5461,,,,
800000,0.74,-60.8226,-1.3704,1.732,-3.2298,70305.3878,297021.7572,22146.9011,159206.4127,,,,
800000,0.66,-68.2663,-1.3704,4.0133,-5.3999,23102.6602,151293.1825,11190.4196,72587.4355,,,,
