sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
800000,0.5,-26.8996,-4.901,1.9098,-9.4026,84789.7712,4793344.9501,608606.6703,1574057.7845,,,,
800000,0.51,-26.2487,-3.9973,1.8481,-9.0572,141963.2529,4991275.0035,631404.7099,1966717.721,,,,
800000,0.53,-25.327,-3.9404,1.7261,-8.4184,339467.7343,6246697.3118,637701.6904,2771162.5408,,,,
800000,0.54,-24.5728,-3.9404,1.6746,-8.1244,484903.2937,5964537.9305,637316.5548,3176160.3784,,,,
800000,0.52,-26.813,-3.9404,1.7876,-8.7307,136446.2333,5515916.126,637285.7853,2368076.9257,,,,
800000,0.55,-24.662,-3.9404,1.6204,-7.8463,749737.2635,6650010.3634,634668.5147,3580641.6046,,,,
800000,0.56,-23.1324,-3.9404,1.5697,-7.5755,780033.7186,6964147.6357,633973.0582,3985906.6401,,,,
800000,0.57,-21.5716,-3.9201,1.5212,-7.3213,1193003.9058,7371908.8431,631343.3944,4387787.0476,,,,
800000,0.58,-19.8844,-3.0275,1.4755,-7.0817,1840229.1345,7893108.1873,629432.275,4791584.1295,,,,
800000,0.59,-23.856,-2.9701,1.4333,-6.852,1884670.4969,8056112.7698,627479.6129,5194443.8835,,,,
800000,0.67,-15.7556,-1.99,1.1489,-5.2989,5525555.2416,11508307.5382,597828.8657,8415188.4239,,,,
800000,0.75,-12.2998,-1.99,0.9356,-4.0975,9180027.52,14234944.6938,549074.0816,11628087.2191,,,,
800000,0.68,-15.7057,-1.99,1.1191,-5.1342,5798996.264,11509439.1381,592799.5479,8818468.1646,,,,
800000,0.76,-12.2479,-1.99,0.9089,-3.9623,9343587.526,14679161.2315,542686.4028,12029171.3023,,,,
800000,0.6,-19.8369,-2.9701,1.3923,-6.6309,2610641.5609,8696714.7547,623701.5552,5598405.3961,,,,
800000,0.69,-15.7057,-1.99,1.0891,-4.9734,6123090.8063,11952771.798,587764.4826,9219461.1278,,,,
800000,0.77,-12.2479,-1.99,0.8835,-3.8328,9700129.8182,14837352.0034,534444.5666,12431636.8347,,,,
800000,0.61,-19.0752,-2.9701,1.3527,-6.4168,2811474.6095,8942786.1123,620846.8319,6000693.9401,,,,
800000,0.7,-15.7556,-1.99,1.0622,-4.8203,6721891.4827,12392166.2272,581548.7629,9621520.1487,,,,
800000,0.78,-11.3615,-1.7676,0.8574,-3.7041,10304573.0856,15239566.372,524951.2859,12833167.6345,,,,
800000,0.62,-18.3545,-2.9701,1.317,-6.2141,3414534.5457,9300027.52,617854.048,6403535.5726,,,,
800000,0.71,-14.9046,-1.99,1.0331,-4.667,7325493.7191,12626637.1638,576909.5592,10022881.5203,,,,
800000,0.79,-12.2479,-1.99,0.8337,-3.5786,10865787.4383,15723621.9623,516716.3076,13233574.0407,,,,
800000,0.63,-18.2577,-2.9701,1.2803,-6.0182,3909454.182,9863587.526,614821.6542,6806675.9001,,,,
800000,0.72,-16.5486,-1.99,1.0098,-4.5212,7618289.7198,13074794.2469,570197.2963,10422974.5013,,,,
800000,0.64,-16.6968,-2.9701,1.2456,-5.8282,3859958.8953,10062148.6908,611047.22,7208099.5888,,,,
800000,0.73,-13.1254,-1.99,0.9836,-4.3746,8010710.9187,13393142.9502,563409.6498,10826059.9961,,,,
800000,0.65,-15.7556,-1.99,1.2121,-5.6459,4910568.4768,10347611.6663,607185.0454,7611272.7707,,,,
800000,0.74,-14.9046,-1.99,0.958,-4.2348,8415769.8398,13756749.6413,556769.7387,11228160.4077,,,,
800000,0.66,-18.2093,-2.9701,1.1796,-5.4685,5155916.126,10704927.2813,602979.3159,8013438.6335,,,,
